agent_short,n,success_rate,hallucination_rate,invalid_tool_rate,timeout_rate,stressed_success_rate,mean_latency_sec,median_latency_sec,mean_cost_units,mean_tokens,mean_confidence,brier,ece,robustness_drop
Reflect,840,0.3011904761904762,0.20357142857142857,0.1869047619047619,0.10833333333333334,0.2488095238095238,75.82267802289137,73.14100863946581,0.1548811142857143,5492.238095238095,0.3694717055906341,0.19051939943848323,0.08323065155102774,0.05238095238095236
Tool-router,840,0.2726190476190476,0.2154761904761905,0.22380952380952382,0.10714285714285714,0.23809523809523808,58.45229142552406,56.453478775794096,0.10649907500000001,5071.384523809524,0.3340475813978173,0.17539141435768124,0.07359813442495007,0.03452380952380951
ReAct,840,0.2571428571428571,0.2642857142857143,0.24761904761904763,0.12261904761904761,0.22738095238095238,54.77169748576637,52.061084239549785,0.09736242214285713,4917.294047619048,0.24417424712371827,0.16630443073753995,0.03672954450893173,0.02976190476190474
Memory,840,0.25476190476190474,0.21071428571428572,0.25595238095238093,0.09166666666666666,0.2011904761904762,64.75531974705746,63.2540919659522,0.12201141642857144,5214.163095238096,0.3469628705254086,0.176359921138823,0.09711267987758951,0.05357142857142855
CoT,840,0.20357142857142857,0.32142857142857145,0.38095238095238093,0.13095238095238096,0.17142857142857143,39.623758898729385,37.367483003322604,0.06527862857142856,4533.238095238095,0.2036091964354018,0.14129099648411547,0.036892221239123016,0.03214285714285714
Direct,840,0.18928571428571428,0.3416666666666667,0.4023809523809524,0.10119047619047619,0.15833333333333333,31.139888872408207,29.67543437464433,0.051770100000000006,4314.175,0.19039945337607306,0.1389084409150172,0.056148725608860035,0.030952380952380953
